Title,Score,Vote,Ranked,Popularity,Episodes,Status,Aired,Premiered,Producers,Licensors,Studios,Source,Duration,Rating
Clannad: After Story,8.93,651967,18,118,24,Finished Airing,"Oct 3, 2008 to Mar 27, 2009",Fall 2008,"['Pony Canyon', 'TBS', 'Rakuonsha', 'Animation Do']",Sentai Filmworks,Kyoto Animation,Visual novel,24 min. per ep.,PG-13 - Teens 13 or older
3-gatsu no Lion 2nd SeasonMarch Comes In Like a Lion 2nd Season,8.92,196278,19,564,22,Finished Airing,"Oct 14, 2017 to Mar 31, 2018",Fall 2017,"['Aniplex', 'Dentsu', 'NHK', 'Hakusensha', 'Asmik Ace', ""Toy's Factory""]",Aniplex of America,Shaft,Manga,25 min. per ep.,PG-13 - Teens 13 or older
Code Geass: Hangyaku no Lelouch R2Code Geass: Lelouch of the Rebellion R2,8.91,1175843,20,46,25,Finished Airing,"Apr 6, 2008 to Sep 28, 2008",Spring 2008,"['Bandai Visual', 'Mainichi Broadcasting System', 'Bandai', 'Bandai Namco Entertainment', 'Hakuhodo DY Media Partners']","Funimation,       Bandai Entertainment",Sunrise,Original,24 min. per ep.,R - 17+ (violence & profanity)
Gintama Movie 2: Kanketsu-hen - Yorozuya yo Eien NareGintama: The Movie: The Final Chapter: Be Forever Yorozuya,8.91,133405,21,990,1,Finished Airing,"Jul 6, 2013",,"['TV Tokyo', 'Aniplex', 'Dentsu', 'Bandai', 'Warner Bros. Japan', 'Shueisha']","None found, add some",Sunrise,Manga,1 hr. 50 min.,PG-13 - Teens 13 or older
Jujutsu Kaisen 2nd SeasonJujutsu Kaisen Season 2,8.90,290986,22,244,23,Finished Airing,"Jul 6, 2023 to Dec 28, 2023",Summer 2023,"['Mainichi Broadcasting System', 'TOHO animation', 'Shueisha', 'dugout', 'Sumzap']","None found, add some",MAPPA,Manga,23 min. per ep.,R - 17+ (violence & profanity)
Gintama.: Shirogane no Tamashii-hen - Kouhan-senGintama.: Silver Soul Arc - Second Half War,8.88,93576,23,1196,14,Finished Airing,"Jul 9, 2018 to Oct 8, 2018",Summer 2018,"['TV Tokyo', 'Aniplex', 'Dentsu', 'Shueisha']","None found, add some",Bandai Namco Pictures,Manga,24 min. per ep.,PG-13 - Teens 13 or older
Monster,8.88,399570,24,135,74,Finished Airing,"Apr 7, 2004 to Sep 28, 2005",Spring 2004,"['VAP', 'Shogakukan-Shueisha Productions', 'Nippon Television Network']",VIZ Media,Madhouse,Manga,24 min. per ep.,R+ - Mild Nudity
Violet Evergarden MovieViolet Evergarden: The Movie,8.88,261906,25,359,1,Finished Airing,"Sep 18, 2020",,"['Shochiku', 'ABC Animation']",Funimation,Kyoto Animation,Light novel,2 hr. 20 min.,PG-13 - Teens 13 or older
Owarimonogatari 2nd SeasonOwarimonogatari Second Season,8.87,188713,26,569,7,Finished Airing,"Aug 12, 2017 to Aug 13, 2017",Summer 2017,"['Aniplex', 'Kodansha']",Aniplex of America,Shaft,Light novel,22 min. per ep.,R - 17+ (violence & profanity)
Kimi no Na wa.Your Name.,8.84,1865428,27,11,1,Finished Airing,"Aug 26, 2016",,"['TOHO', 'Sound Team Don Juan', 'Lawson HMV Entertainment', 'Amuse', 'JR East Marketing & Communications', 'Kadokawa', 'voque ting']","Funimation,       NYAV Post",CoMix Wave Films,Original,1 hr. 46 min.,PG-13 - Teens 13 or older
Kingdom 3rd SeasonKingdom: Season 3,8.81,37523,28,2056,26,Finished Airing,"Apr 6, 2020 to Oct 17, 2021",Spring 2020,['Shueisha'],Funimation,"Pierrot,       Studio Signpost",Manga,25 min. per ep.,R - 17+ (violence & profanity)
Bocchi the Rock!,8.81,306796,29,417,12,Finished Airing,"Oct 9, 2022 to Dec 25, 2022",Fall 2022,"['Aniplex', 'Houbunsha']","None found, add some",CloverWorks,4-koma manga,23 min. per ep.,PG-13 - Teens 13 or older
Gintama.: Shirogane no Tamashii-henGintama.: Silver Soul Arc,8.81,102101,30,1130,12,Finished Airing,"Jan 8, 2018 to Mar 26, 2018",Winter 2018,"['TV Tokyo', 'Aniplex', 'Dentsu', 'Shueisha']","None found, add some",Bandai Namco Pictures,Manga,24 min. per ep.,PG-13 - Teens 13 or older
Kaguya-sama wa Kokurasetai: First Kiss wa OwaranaiKaguya-sama: Love is War - The First Kiss That Never Ends,8.80,123039,35,1000,1,Finished Airing,"Dec 17, 2022",,"['Aniplex', 'Mainichi Broadcasting System', 'Shueisha', 'JR East Marketing & Communications']",Aniplex of America,A-1 Pictures,Manga,1 hr. 36 min.,PG-13 - Teens 13 or older
The First Slam Dunk,8.81,9854,31,3736,1,Finished Airing,"Dec 3, 2022",,['Shueisha'],GKIDS,"Toei Animation,       DandeLion Animation Studio",Manga,2 hr. 4 min.,PG-13 - Teens 13 or older
Vinland Saga Season 2,8.80,268247,32,387,24,Finished Airing,"Jan 10, 2023 to Jun 20, 2023",Winter 2023,"['Dentsu', 'Kodansha', 'Twin Engine']","None found, add some",MAPPA,Manga,25 min. per ep.,R - 17+ (violence & profanity)
Mob Psycho 100 II,8.80,941150,34,72,13,Finished Airing,"Jan 7, 2019 to Apr 1, 2019",Winter 2019,"['Warner Bros. Japan', 'KlockWorx', 'BS Fuji', 'Hakuhodo DY Music & Pictures', 'Shogakukan']",Funimation,Bones,Web manga,24 min. per ep.,PG-13 - Teens 13 or older
Kusuriya no HitorigotoThe Apothecary Diaries,8.80,47500,33,1107,24,Currently Airing,"Oct 22, 2023 to Mar 2024",Fall 2023,"['Dentsu', 'Square Enix', 'Nippon Television Network', 'TOHO animation', 'Shogakukan', 'Imagica Infos']","None found, add some","OLM,       TOHO animation STUDIO",Light novel,22 min. per ep.,PG-13 - Teens 13 or older
Shingeki no Kyojin: The Final SeasonAttack on Titan: Final Season,8.79,1287178,36,36,16,Finished Airing,"Dec 7, 2020 to Mar 29, 2021",Winter 2021,"['Production I.G', 'Dentsu', 'Mainichi Broadcasting System', 'Pony Canyon', 'Kodansha', 'Techno Sound', 'Pony Canyon Enterprises']",Funimation,MAPPA,Manga,23 min. per ep.,R - 17+ (violence & profanity)
Haikyuu!! Karasuno Koukou vs. Shiratorizawa Gakuen KoukouHaikyu!! 3rd Season,8.78,781584,38,117,10,Finished Airing,"Oct 8, 2016 to Dec 10, 2016",Fall 2016,"['Dentsu', 'Mainichi Broadcasting System', 'Movic', 'Sony Music Entertainment', 'TOHO animation', 'Shueisha']",Sentai Filmworks,Production I.G,Manga,24 min. per ep.,PG-13 - Teens 13 or older
Kizumonogatari III: Reiketsu-henKizumonogatari Part 3: Cold-Blooded,8.78,263677,37,481,1,Finished Airing,"Jan 6, 2017",,"['Aniplex', 'Kodansha']",Aniplex of America,Shaft,Light novel,1 hr. 23 min.,R - 17+ (violence & profanity)
Kimetsu no Yaiba: Yuukaku-henDemon Slayer: Kimetsu no Yaiba Entertainment District Arc,8.77,859442,40,92,11,Finished Airing,"Dec 5, 2021 to Feb 13, 2022",Winter 2022,"['Aniplex', 'Shueisha']","Aniplex of America,       Crunchyroll",ufotable,Manga,26 min. per ep.,R - 17+ (violence & profanity)
Sen to Chihiro no KamikakushiSpirited Away,8.77,1274520,41,44,1,Finished Airing,"Jul 20, 2001",,"['Dentsu', 'TOHO', 'Tokuma Shoten', 'Tohokushinsha Film Corporation', 'Nippon Television Network', 'Mitsubishi']","Disney Platform Distribution,       GKIDS",Studio Ghibli,Original,2 hr. 4 min.,PG - Children
Shingeki no Kyojin: The Final Season Part 2Attack on Titan: Final Season Part 2,8.77,705176,42,103,12,Finished Airing,"Jan 10, 2022 to Apr 4, 2022",Winter 2022,"['Production I.G', 'Dentsu', 'Mainichi Broadcasting System', 'Pony Canyon', 'Kodansha', 'Pony Canyon Enterprises']",Funimation,MAPPA,Manga,23 min. per ep.,R - 17+ (violence & profanity)
Hajime no IppoFighting Spirit,8.77,282929,39,370,75,Finished Airing,"Oct 4, 2000 to Mar 27, 2002",Fall 2000,['VAP'],"Discotek Media,       Geneon Entertainment USA",Madhouse,Manga,23 min. per ep.,PG-13 - Teens 13 or older
Tian Guan Cifu ErHeaven Official's Blessing Season 2,8.76,4082,44,3725,Unknown,Currently Airing,"Oct 18, 2023 to ?",,"['bilibili', 'Red Dog Culture House']","None found, add some",Haoliners Animation League,Web novel,Unknown,PG-13 - Teens 13 or older
Monogatari Series: Second Season,8.76,353056,43,301,26,Finished Airing,"Jul 7, 2013 to Dec 29, 2013",Summer 2013,"['Aniplex', 'Kodansha', 'Cyclone Graphics']",Aniplex of America,Shaft,Light novel,25 min. per ep.,R - 17+ (violence & profanity)
Cowboy Bebop,8.75,945539,46,43,26,Finished Airing,"Apr 3, 1998 to Apr 24, 1999",Spring 1998,['Bandai Visual'],Funimation,Sunrise,Original,24 min. per ep.,R - 17+ (violence & profanity)
Vinland Saga,8.75,832789,45,79,24,Finished Airing,"Jul 8, 2019 to Dec 30, 2019",Summer 2019,"['Production I.G', 'Dentsu', 'Kodansha', 'Twin Engine']",Sentai Filmworks,Wit Studio,Manga,24 min. per ep.,R - 17+ (violence & profanity)
Kingdom 4th SeasonKingdom: Season 4,8.74,24246,47,2777,26,Finished Airing,"Apr 10, 2022 to Oct 2, 2022",Spring 2022,"['Avex Pictures', 'Shueisha', 'NHK Enterprises']","None found, add some","Pierrot,       Studio Signpost",Manga,24 min. per ep.,R - 17+ (violence & profanity)
Mushishi Zoku Shou 2nd SeasonMushi-shi: Next Passage Part 2,8.73,104531,48,902,10,Finished Airing,"Oct 19, 2014 to Dec 21, 2014",Fall 2014,"['Aniplex', 'Kodansha', 'Delfi Sound']",Aniplex of America,Artland,Manga,23 min. per ep.,PG-13 - Teens 13 or older
Shouwa Genroku Rakugo Shinjuu: Sukeroku Futatabi-henDescending Stories: Showa Genroku Rakugo Shinju,8.72,64339,51,1253,12,Finished Airing,"Jan 7, 2017 to Mar 25, 2017",Winter 2017,"['Mainichi Broadcasting System', 'Kodansha', 'DAX Production', 'King Records']","None found, add some",Studio Deen,Manga,24 min. per ep.,PG-13 - Teens 13 or older
"""Oshi no Ko""[Oshi No Ko]",8.72,413262,49,268,11,Finished Airing,"Apr 12, 2023 to Jun 28, 2023",Spring 2023,"['Shueisha', 'CyberAgent', 'Kadokawa']",Sentai Filmworks,Doga Kobo,Manga,30 min. per ep.,PG-13 - Teens 13 or older
Ashita no Joe 2Tomorrow's Joe 2,8.72,19641,50,3020,47,Finished Airing,"Oct 13, 1980 to Aug 31, 1981",Fall 1980,['Annapuru'],"None found, add some",Tokyo Movie Shinsha,Manga,24 min. per ep.,PG-13 - Teens 13 or older
Bleach: Sennen Kessen-hen - Ketsubetsu-tanBleach: Thousand-Year Blood War - The Separation,8.71,115938,54,986,13,Finished Airing,"Jul 8, 2023 to Sep 30, 2023",Summer 2023,"['TV Tokyo', 'Aniplex', 'Dentsu', 'Shueisha', 'Zack Promotion']",VIZ Media,Pierrot,Manga,24 min. per ep.,R - 17+ (violence & profanity)
Mob Psycho 100 III,8.71,299323,52,321,12,Finished Airing,"Oct 6, 2022 to Dec 22, 2022",Fall 2022,"['Shogakukan-Shueisha Productions', 'Warner Bros. Japan', 'KlockWorx', 'BS Fuji', 'Hakuhodo DY Music & Pictures', 'Shogakukan']","None found, add some",Bones,Web manga,23 min. per ep.,PG-13 - Teens 13 or older
One Piece,8.71,1297946,53,19,Unknown,Currently Airing,"Oct 20, 1999 to ?",Fall 1999,"['Fuji TV', 'TAP', 'Shueisha']","Funimation,       4Kids Entertainment",Toei Animation,Manga,24 min.,PG-13 - Teens 13 or older
Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-henSamurai X: Trust and Betrayal,8.70,136826,57,857,4,Finished Airing,"Feb 20, 1999 to Sep 22, 1999",,['Aniplex'],"ADV Films,       Aniplex of America",Studio Deen,Manga,29 min. per ep.,R - 17+ (violence & profanity)
86 Part 286 Eighty-Six Part 2,8.70,265438,55,462,12,Finished Airing,"Oct 3, 2021 to Mar 19, 2022",Fall 2021,"['Aniplex', 'Kadokawa', 'Bandai Spirits']","None found, add some",A-1 Pictures,Light novel,23 min. per ep.,R - 17+ (violence & profanity)
Code Geass: Hangyaku no LelouchCode Geass: Lelouch of the Rebellion,8.70,1378791,56,22,25,Finished Airing,"Oct 6, 2006 to Jul 29, 2007",Fall 2006,"['Bandai Visual', 'Mainichi Broadcasting System', 'Bandai', 'Sony Music Entertainment', 'Bandai Namco Entertainment', 'Hakuhodo DY Media Partners']","Funimation,       Bandai Entertainment",Sunrise,Original,24 min. per ep.,R - 17+ (violence & profanity)
Great Teacher Onizuka,8.69,399447,59,216,43,Finished Airing,"Jun 30, 1999 to Sep 17, 2000",Summer 1999,"['Aniplex', 'Fuji TV']","Discotek Media,       Tokyopop",Pierrot,Manga,25 min. per ep.,R - 17+ (violence & profanity)
Mushishi Zoku ShouMushi-shi: Next Passage Part 1,8.69,117032,58,790,10,Finished Airing,"Apr 5, 2014 to Jun 21, 2014",Spring 2014,"['Aniplex', 'Kodansha', 'Delfi Sound']",Aniplex of America,Artland,Manga,24 min. per ep.,PG-13 - Teens 13 or older
Mushoku Tensei: Isekai Ittara Honki Dasu Part 2Mushoku Tensei: Jobless Reincarnation Part 2,8.68,543374,60,188,12,Finished Airing,"Oct 4, 2021 to Dec 20, 2021",Fall 2021,"['Frontier Works', 'TOHO', 'TOHO animation', 'Tokyo MX', 'Hakuhodo DY Music & Pictures', 'BS11', 'Egg Firm', 'Kadokawa', 'GREE Entertainment']",Funimation,Studio Bind,Light novel,23 min. per ep.,R - 17+ (violence & profanity)
Shiguang DailirenLink Click,8.68,128186,61,665,11,Finished Airing,"Apr 30, 2021 to Jul 9, 2021",,"['bilibili', 'BeDream']",Funimation,LAN Studio,Original,23 min. per ep.,PG-13 - Teens 13 or older
Mononoke HimePrincess Mononoke,8.67,794978,62,106,1,Finished Airing,"Jul 12, 1997",,"['Tokuma Shoten', 'Nippon Television Network']",GKIDS,Studio Ghibli,Original,2 hr. 13 min.,PG-13 - Teens 13 or older
Odd Taxi,8.67,206103,63,535,13,Finished Airing,"Apr 6, 2021 to Jun 29, 2021",Spring 2021,"['TV Tokyo', 'Dentsu', 'Pony Canyon', 'AT-X', 'Crunchyroll', 'Pony Canyon Enterprises', 'Yoshimoto Kogyo']","None found, add some","OLM,       P.I.C.S.",Original,23 min. per ep.,PG-13 - Teens 13 or older
Fate/stay night Movie: Heaven's Feel - III. Spring SongFate/stay night: Heaven's Feel - III. Spring Song,8.67,181834,65,675,1,Finished Airing,"Aug 15, 2020",,"['Aniplex', 'Notes', 'Kadokawa']",Aniplex of America,ufotable,Visual novel,2 hr. 2 min.,R - 17+ (violence & profanity)
Violet Evergarden,8.67,951871,64,48,13,Finished Airing,"Jan 11, 2018 to Apr 5, 2018",Winter 2018,"['Lantis', 'Pony Canyon', 'Rakuonsha', 'ABC Animation']",Funimation,Kyoto Animation,Light novel,24 min. per ep.,PG-13 - Teens 13 or older
MushishiMushi-Shi,8.66,274656,69,213,26,Finished Airing,"Oct 23, 2005 to Jun 19, 2006",Fall 2005,"['Avex Entertainment', 'Marvelous Entertainment', 'SKY Perfect Well Think', 'Delfi Sound']",Funimation,Artland,Manga,23 min. per ep.,PG-13 - Teens 13 or older
Bungou Stray Dogs 5th SeasonBungo Stray Dogs 5,8.66,63152,66,1442,11,Finished Airing,"Jul 12, 2023 to Sep 20, 2023",Summer 2023,"['WOWOW', 'Lantis', 'Movic', 'Glovision', 'Crunchyroll', 'Sunrise Music', 'Kadokawa', 'Sony Music Solutions', 'Bandai Namco Music Live']","None found, add some",Bones,Manga,23 min. per ep.,R - 17+ (violence & profanity)
Hajime no Ippo: New ChallengerFighting Spirit: New Challenger,8.66,163450,67,843,26,Finished Airing,"Jan 7, 2009 to Jul 1, 2009",Winter 2009,"['VAP', 'Kodansha', 'Nippon Television Network']","None found, add some",Madhouse,Manga,23 min. per ep.,PG-13 - Teens 13 or older
Howl no Ugoku ShiroHowl's Moving Castle,8.66,902910,68,99,1,Finished Airing,"Nov 20, 2004",,"['d-rights', 'Tokuma Shoten']",Disney Platform Distribution,Studio Ghibli,Novel,1 hr. 59 min.,G - All Ages
Made in Abyss,8.65,730546,70,94,13,Finished Airing,"Jul 7, 2017 to Sep 29, 2017",Summer 2017,"['AT-X', 'Takeshobo', 'Sony Music Communications', 'Kadokawa Media House', 'Cygames', 'Kanetsu Investment', 'Kadokawa', 'Global Solutions', 'IRMA LA DOUCE']",Sentai Filmworks,Kinema Citrus,Web manga,25 min. per ep.,R - 17+ (violence & profanity)
Shigatsu wa Kimi no UsoYour Lie in April,8.65,1325740,71,24,22,Finished Airing,"Oct 10, 2014 to Mar 20, 2015",Fall 2014,"['Aniplex', 'Dentsu', 'Kodansha', 'Fuji TV', 'Lawson HMV Entertainment', 'Kyoraku Industrial Holdings', 'Kansai Telecasting']",Aniplex of America,A-1 Pictures,Manga,22 min. per ep.,PG-13 - Teens 13 or older
Made in Abyss: Retsujitsu no OugonkyouMade in Abyss: The Golden City of the Scorching Sun,8.64,185781,72,522,12,Finished Airing,"Jul 6, 2022 to Sep 28, 2022",Summer 2022,"['AT-X', 'Takeshobo', 'Kadokawa Media House', 'Cygames', 'Kadokawa', 'Global Solutions', 'Sony Music Solutions', 'IRMA LA DOUCE']",Sentai Filmworks,Kinema Citrus,Web manga,25 min. per ep.,R - 17+ (violence & profanity)
Natsume Yuujinchou ShiNatsume's Book of Friends Season 4,8.64,107160,73,968,13,Finished Airing,"Jan 3, 2012 to Mar 27, 2012",Winter 2012,"['TV Tokyo', 'Aniplex', 'Nihon Ad Systems', 'Hakusensha', 'Sony Music Entertainment']","NIS America, Inc.",Brain's Base,Manga,24 min. per ep.,PG-13 - Teens 13 or older
Tengen Toppa Gurren LagannGurren Lagann,8.63,887495,76,64,27,Finished Airing,"Apr 1, 2007 to Sep 30, 2007",Spring 2007,"['TV Tokyo', 'Aniplex', 'Dentsu', 'Konami', 'Half H.P Studio', 'Bandai']","ADV Films,       Bandai Entertainment,       Aniplex of America",Gainax,Original,24 min. per ep.,PG-13 - Teens 13 or older
Haikyuu!! Second SeasonHaikyu!! 2nd Season,8.63,925483,74,86,25,Finished Airing,"Oct 4, 2015 to Mar 27, 2016",Fall 2015,"['Dentsu', 'Mainichi Broadcasting System', 'Movic', 'Sony Music Entertainment', 'TOHO animation', 'Shueisha']",Sentai Filmworks,Production I.G,Manga,24 min. per ep.,PG-13 - Teens 13 or older
Kaguya-sama wa Kokurasetai? Tensai-tachi no Renai ZunousenKaguya-sama: Love is War Season 2,8.63,840018,75,98,12,Finished Airing,"Apr 11, 2020 to Jun 27, 2020",Spring 2020,"['Aniplex', 'Mainichi Broadcasting System', 'Shueisha', 'JR East Marketing & Communications']",Aniplex of America,A-1 Pictures,Manga,24 min. per ep.,PG-13 - Teens 13 or older
Death Note,8.62,2696520,81,2,37,Finished Airing,"Oct 4, 2006 to Jun 27, 2007",Fall 2006,"['VAP', 'Nippon Television Network', 'Shueisha', 'D.N. Dream Partners']",VIZ Media,Madhouse,Manga,23 min. per ep.,R - 17+ (violence & profanity)
Jujutsu Kaisen,8.62,1586150,82,16,24,Finished Airing,"Oct 3, 2020 to Mar 27, 2021",Fall 2020,"['Mainichi Broadcasting System', 'TOHO animation', 'Shueisha', 'dugout', 'Sumzap']",VIZ Media,MAPPA,Manga,23 min. per ep.,R - 17+ (violence & profanity)
Made in Abyss Movie 3: Fukaki Tamashii no ReimeiMade in Abyss: Dawn of the Deep Soul,8.62,245838,77,490,1,Finished Airing,"Jan 17, 2020",,"['AT-X', 'Takeshobo', 'Kadokawa Media House', 'Cygames', 'Kanetsu Investment', 'Kadokawa', 'Global Solutions', 'Sony Music Solutions', 'IRMA LA DOUCE']",Sentai Filmworks,Kinema Citrus,Web manga,1 hr. 45 min.,R - 17+ (violence & profanity)
Natsume Yuujinchou RokuNatsume's Book of Friends Season 6,8.62,66856,78,1273,11,Finished Airing,"Apr 12, 2017 to Jun 21, 2017",Spring 2017,"['TV Tokyo', 'Aniplex', 'Nihon Ad Systems', 'Hakusensha']","None found, add some",Shuka,Manga,23 min. per ep.,PG-13 - Teens 13 or older
Ping Pong the Animation,8.62,180922,79,585,11,Finished Airing,"Apr 11, 2014 to Jun 20, 2014",Spring 2014,"['Aniplex', 'Dentsu', 'Fuji TV', 'Kyoraku Industrial Holdings']",Funimation,Tatsunoko Production,Manga,23 min. per ep.,PG-13 - Teens 13 or older
Shingeki no Kyojin Season 3Attack on Titan Season 3,8.62,1572690,80,18,12,Finished Airing,"Jul 23, 2018 to Oct 15, 2018",Summer 2018,"['Production I.G', 'Dentsu', 'Mainichi Broadcasting System', 'Pony Canyon', 'Kodansha', 'Techno Sound', 'Pony Canyon Enterprises']",Funimation,Wit Studio,Manga,23 min. per ep.,R - 17+ (violence & profanity)
Kimetsu no Yaiba Movie: Mugen Ressha-henDemon Slayer: Kimetsu no Yaiba - The Movie: Mugen Train,8.60,987198,86,73,1,Finished Airing,"Oct 16, 2020",,"['Aniplex', 'Shueisha']",Aniplex of America,ufotable,Manga,1 hr. 56 min.,R - 17+ (violence & profanity)
Seishun Buta Yarou wa Yumemiru Shoujo no Yume wo MinaiRascal Does Not Dream of a Dreaming Girl,8.60,439854,87,282,1,Finished Airing,"Jun 15, 2019",,"['Aniplex', 'Tokyo MX', 'Hakuhodo DY Music & Pictures', 'Nagoya Broadcasting Network', 'BS11', 'ABC Animation', 'Kadokawa']",Aniplex of America,CloverWorks,Light novel,1 hr. 30 min.,PG-13 - Teens 13 or older
Shin Evangelion Movie: ||Evangelion: 3.0+1.0 Thrice Upon a Time,8.60,154073,88,624,1,Finished Airing,"Mar 8, 2021",,['add some'],GKIDS,Khara,Original,2 hr. 35 min.,PG-13 - Teens 13 or older
Cyberpunk: Edgerunners,8.60,467204,83,284,10,Finished Airing,"Sep 13, 2022",,['CD Projekt Red'],"None found, add some",Trigger,Game,25 min. per ep.,R+ - Mild Nudity
