Title,Score,Vote,Ranked,Popularity,Members,Favorite,Volumes,Chapters,Status,Published,Genres,Themes,Demographics,Serialization,Author
Kingdom,9.00,60321,11,52,"167,054","14,798",Unknown,Unknown,Publishing,"Jan  26, 2006 to ?","['Action', 'Award Winning']","['Historical', 'Military']",['Seinen'],Young Jump,"Hara, Yasuhisa (Story & Art)"
Houseki no Kuni (Land of the Lustrous),8.96,39061,12,94,"124,973","13,821",Unknown,Unknown,Publishing,"Oct  25, 2012 to ?","['Action', 'Drama', 'Fantasy']",[],['Seinen'],Afternoon,"Ichikawa, Haruko (Story & Art)"
20th Century Boys,8.95,86516,13,28,"249,084","19,450",22,249,Finished,"Sep  27, 1999 to Apr  24, 2006","['Award Winning', 'Drama', 'Mystery', 'Sci-Fi']","['Historical', 'Psychological']",['Seinen'],Big Comic Spirits,"Urasawa, Naoki (Story & Art)"
Real,8.94,19307,14,167,"84,882","3,705",Unknown,Unknown,Publishing,"Oct  28, 1999 to ?","['Drama', 'Sports']","['Psychological', 'Team Sports']",['Seinen'],Young Jump,"Inoue, Takehiko (Story & Art)"
Ashita no Joe,8.94,16410,15,309,"51,006","4,168",20,171,Finished,"Jan  1, 1968 to May  13, 1973","['Drama', 'Slice of Life', 'Sports']",[],['Shounen'],Shounen Magazine (Weekly),"Kajiwara, Ikki (Story), Chiba, Tetsuya (Art)"
Monogatari Series: First Season,8.92,15773,16,271,"57,812","3,061",6,107,Finished,"Nov  1, 2006 to Jul  28, 2010","['Action', 'Comedy', 'Mystery', 'Romance', 'Supernatural']",[],[],Mephisto,"NISIO, ISIN (Story), VOFAN (Art)"
Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen (Kaguya-sama: Love Is War),8.91,127650,17,25,"263,848","28,482",28,281,Finished,"May  19, 2015 to Nov  2, 2022","['Award Winning', 'Comedy']","['Romantic Subtext', 'School']",['Seinen'],Young Jump,"Akasaka, Aka (Story & Art)"
Monogatari Series: Second Season,8.90,6708,18,781,"22,415",727,6,199,Finished,"Oct  27, 2010 to Dec  20, 2011","['Comedy', 'Drama', 'Mystery', 'Supernatural']",[],[],None,"NISIO, ISIN (Story), VOFAN (Art)"
Mikkakan no Koufuku (Three Days of Happiness),8.90,8770,19,632,"27,534","1,195",1,15,Finished,"Dec  25, 2013",[],[],[],None,"Miaki, Sugaru (Story)"
Yotsuba to! (Yotsuba&!),8.89,53531,20,71,"151,041","15,989",Unknown,Unknown,Publishing,"Mar  21, 2003 to ?","['Award Winning', 'Comedy', 'Slice of Life']","['Childcare', 'Iyashikei']",[],Dengeki Daioh,"Azuma, Kiyohiko (Story & Art)"
GTO (GTO: Great Teacher Onizuka),8.88,64671,21,54,"165,362","11,224",25,208,Finished,"Dec  11, 1996 to Jan  30, 2002","['Action', 'Award Winning', 'Comedy', 'Drama', 'Ecchi']","['Delinquents', 'School', 'Workplace']",['Shounen'],Shounen Magazine (Weekly),"Fujisawa, Tooru (Story & Art)"
3-gatsu no Lion (March Comes in Like a Lion),8.88,18317,22,228,"65,925","4,040",Unknown,Unknown,Publishing,"Jul  13, 2007 to ?","['Award Winning', 'Drama', 'Slice of Life']","['Childcare', 'Iyashikei', 'Strategy Game']",['Seinen'],Young Animal,"Umino, Chica (Story & Art)"
Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e (Classroom of the Elite),8.86,30761,23,175,"82,273","7,991",14,110,Finished,"May  25, 2015 to Sep  25, 2019",[],"['Psychological', 'School']",[],None,"Tomose, Shunsaku (Art), Kinugasa, Shougo (Story)"
Koe no Katachi (A Silent Voice),8.86,143943,24,24,"265,448","22,267",7,64,Finished,"Aug  7, 2013 to Nov  19, 2014","['Award Winning', 'Drama']",[],['Shounen'],Shounen Magazine (Weekly),"Ooima, Yoshitoki (Story & Art)"
Umineko no Naku Koro ni Chiru - Episode 8: Twilight of the Golden Witch (Umineko When They Cry Episode 8: Twilight of the Golden Witch),8.85,5885,25,1115,"16,111","1,487",9,42,Finished,"Jan  21, 2012 to Jun  22, 2015","['Drama', 'Fantasy', 'Mystery', 'Supernatural']",[],['Shounen'],Gangan Joker,"Natsumi, Kei (Art), Ryukishi07 (Story)"
Haikyuu!! (Haikyu!!),8.85,102463,26,34,"212,646","18,040",45,407,Finished,"Feb  20, 2012 to Jul  20, 2020","['Award Winning', 'Sports']","['School', 'Team Sports']",['Shounen'],Shounen Jump (Weekly),"Furudate, Haruichi (Story & Art)"
Monogatari Series: Final Season,8.85,4626,27,971,"18,153",470,6,231,Finished,"Sep  28, 2012 to Sep  18, 2014","['Comedy', 'Mystery', 'Supernatural']",[],[],None,"NISIO, ISIN (Story), VOFAN (Art)"
Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e: 2-nensei-hen (Classroom of the Elite: Year 2),8.85,13071,28,498,"33,915","2,134",Unknown,Unknown,Publishing,"Jan  24, 2020 to ?",[],"['Psychological', 'School']",[],None,"Tomose, Shunsaku (Art), Kinugasa, Shougo (Story)"
Akatsuki no Yona (Yona of the Dawn),8.82,47222,29,82,"132,140","13,908",Unknown,Unknown,Publishing,"Aug  5, 2009 to ?","['Action', 'Adventure', 'Fantasy', 'Romance']",[],['Shoujo'],Hana to Yume,"Kusanagi, Mizuho (Story & Art)"
Kaze no Tani no Nausicaä (Nausicaä of the Valley of the Wind),8.82,16436,30,277,"57,071","3,415",7,59,Finished,"Oct  9, 1982 to Feb  10, 1994","['Action', 'Adventure', 'Award Winning', 'Fantasy', 'Supernatural']",[],[],Animage,"Miyazaki, Hayao (Story & Art)"
Ookami to Koushinryou (Spice & Wolf),8.82,15490,31,244,"62,836","4,142",Unknown,Unknown,Publishing,"Feb  10, 2006 to ?","['Adventure', 'Drama', 'Fantasy', 'Romance', 'Supernatural']","['Adult Cast', 'Historical']",[],None,"Hasekura, Isuna (Story), Ayakura, Juu (Art)"
Mushoku Tensei: Isekai Ittara Honki Dasu (Mushoku Tensei: Jobless Reincarnation),8.81,33644,32,183,"80,812","7,350",26,330,Finished,"Jan  23, 2014 to Nov  25, 2022",[],"['Isekai', 'Reincarnation']",[],None,"Rifujin na Magonote (Story), Sirotaka (Art)"
86 (86: Eighty-Six),8.81,9601,33,432,"38,399","2,854",Unknown,Unknown,Publishing,"Feb  10, 2017 to ?","['Action', 'Drama', 'Sci-Fi']",[],[],None,"Shirabi (Art), Asato, Asato (Story)"
Nana,8.79,42414,34,78,"135,897","11,271",21,84,On Hiatus,"May  26, 2000 to May  26, 2009","['Award Winning', 'Drama', 'Romance']","['Adult Cast', 'Love Polygon', 'Music']",['Shoujo'],Cookie,"Yazawa, Ai (Story & Art)"
Re:Zero kara Hajimeru Isekai Seikatsu (Re:ZERO -Starting Life in Another World-),8.79,20063,35,221,"67,351","5,253",Unknown,Unknown,Publishing,"Jan  23, 2014 to ?","['Drama', 'Fantasy', 'Suspense']","['Isekai', 'Psychological', 'Time Travel']",[],None,"Nagatsuki, Tappei (Story), Ootsuka, Shinichirou (Art)"
"Jumyou wo Kaitotte Moratta. Ichinen ni Tsuki, Ichimanen de. (I sold my life for ten thousand yen per year.)",8.78,85791,36,60,"159,772","13,461",3,18,Finished,"Aug  10, 2016 to Oct  25, 2017",[],[],['Shounen'],Shounen Jump+,"Taguchi, Shouichi (Art), Miaki, Sugaru (Story)"
Made in Abyss,8.77,52325,37,62,"156,837","10,214",Unknown,Unknown,Publishing,"Oct  20, 2012 to ?","['Adventure', 'Drama', 'Fantasy', 'Sci-Fi']",[],[],Web Comic Gamma,"Tsukushi, Akihito (Story & Art)"
Tian Guan Cifu (Heaven Official's Blessing: Tian Guan Ci Fu),8.77,3136,38,2652,"7,493",914,6,Unknown,Finished,"Feb  4, 2021 to Mar  31, 2022","['Action', 'Adventure', 'Boys Love', 'Supernatural']",[],[],None,Mo Xiang Tong Xiu (Story)
"Yahari Ore no Seishun Love Comedy wa Machigatteiru. (My Youth Romantic Comedy Is Wrong, As I Expected)",8.77,19307,39,214,"69,689","4,159",18,168,Finished,"Mar  18, 2011 to Apr  20, 2021","['Comedy', 'Romance']","['Love Polygon', 'School']",[],None,"Watari, Wataru (Story), Ponkan⑧ (Art)"
Uchuu Kyoudai (Space Brothers),8.77,7968,40,486,"34,407","1,447",Unknown,Unknown,Publishing,"Dec  6, 2007 to ?","['Award Winning', 'Drama', 'Sci-Fi']","['Adult Cast', 'Space', 'Workplace']",['Seinen'],Morning,"Koyama, Chuuya (Story & Art)"
Kokou no Hito (The Climber),8.75,30309,41,134,"99,392","5,568",17,170,Finished,"Nov  1, 2007 to Oct  27, 2011","['Drama', 'Sports']",[],['Seinen'],Young Jump,"Sakamoto, Shinichi (Story & Art)"
Honzuki no Gekokujou: Shisho ni Naru Tame ni wa Shudan wo Erandeiraremasen (Ascendance of a Bookworm: I'll do Anything to Become a Librarian!),8.75,4118,42,1359,"13,979",939,Unknown,Unknown,Publishing,"Jan  25, 2015 to ?",[],"['Isekai', 'Reincarnation']",[],None,"Shiina, You (Art), Kazuki, Miya (Story)"
Hunter x Hunter,8.74,122355,43,23,"265,723","23,313",Unknown,Unknown,Publishing,"Mar  3, 1998 to ?","['Action', 'Adventure', 'Fantasy']",[],['Shounen'],Shounen Jump (Weekly),"Togashi, Yoshihiro (Story & Art)"
One Punch-Man (One-Punch Man),8.74,231809,44,6,"471,014","38,277",Unknown,Unknown,Publishing,"Jun  14, 2012 to ?","['Action', 'Comedy']","['Parody', 'Super Power']",['Seinen'],Tonari no Young Jump,"Murata, Yusuke (Art), ONE (Story)"
Chainsaw Man,8.73,364876,45,4,"595,803","80,156",Unknown,Unknown,Publishing,"Dec  3, 2018 to ?","['Action', 'Award Winning', 'Supernatural']",[],['Shounen'],Shounen Jump+,"Fujimoto, Tatsuki (Story & Art)"
Hajime no Ippo (Hajime no Ippo: Fighting Spirit!),8.73,35629,46,169,"84,138","6,661",Unknown,Unknown,Publishing,"Sep  27, 1989 to ?","['Award Winning', 'Sports']",[],['Shounen'],Shounen Magazine (Weekly),"Morikawa, George (Story & Art)"
Mushishi,8.72,19135,47,179,"81,657","2,833",10,50,Finished,"Nov  1999 to Aug  25, 2008","['Award Winning', 'Fantasy', 'Mystery', 'Supernatural']","['Adult Cast', 'Historical', 'Iyashikei']",['Seinen'],Afternoon,"Urushibara, Yuki (Story & Art)"
Shoujo Shuumatsu Ryokou (Girls' Last Tour),8.71,25590,48,231,"65,569","5,736",6,47,Finished,"Feb  21, 2014 to Jan  12, 2018","['Adventure', 'Award Winning', 'Slice of Life']",[],[],Kurage Bunch,Tsukumizu (Story & Art)
Utsuro no Hako to Zero no Maria (The Empty Box and Zeroth Maria),8.70,20121,49,126,"101,974","5,314",7,40,Finished,"Jan  10, 2009 to Jun  10, 2015","['Action', 'Drama', 'Horror', 'Mystery', 'Romance', 'Supernatural', 'Suspense']","['Psychological', 'School']",[],None,"Mikage, Eiji (Story), Tetsuo (Art)"
Sousou no Frieren (Frieren: Beyond Journey's End),8.70,28788,50,129,"101,523","5,448",Unknown,Unknown,Publishing,"Apr  28, 2020 to ?","['Adventure', 'Award Winning', 'Drama', 'Fantasy']",[],['Shounen'],Shounen Sunday,"Yamada, Kanehito (Story), Abe, Tsukasa (Art)"
Death Note,8.69,223603,51,13,"389,108","31,685",12,108,Finished,"Dec  1, 2003 to May  15, 2006","['Supernatural', 'Suspense']",[],['Shounen'],Shounen Jump (Weekly),"Obata, Takeshi (Art), Ohba, Tsugumi (Story)"
Beck (BECK: Mongolian Chop Squad),8.69,27493,52,193,"77,258","4,873",34,103,Finished,"Feb  17, 2000 to Jun  5, 2008","['Award Winning', 'Drama', 'Romance']",[],['Shounen'],Shounen Magazine (Monthly),"Sakuishi, Harold (Story & Art)"
Kono Oto Tomare!,8.69,11821,53,401,"41,142","2,494",Unknown,Unknown,Publishing,"Aug  4, 2012 to ?",[],"['Performing Arts', 'School']",['Shounen'],Jump SQ.,"Sakura, Amyuu (Story & Art)"
Yokohama Kaidashi Kikou,8.68,18277,54,205,"72,718","5,069",14,142,Finished,"Apr  25, 1994 to Feb  25, 2006","['Award Winning', 'Drama', 'Sci-Fi', 'Slice of Life']",[],['Seinen'],Afternoon,"Ashinano, Hitoshi (Story & Art)"
Kino no Tabi: The Beautiful World,8.68,2755,55,954,"18,503",533,Unknown,Unknown,Publishing,"Mar  10, 2000 to ?","['Adventure', 'Drama', 'Fantasy', 'Mystery', 'Sci-Fi']",[],[],None,"Sigsawa, Keiichi (Story), Kuroboshi, Kouhaku (Art)"
Akira,8.68,42592,56,89,"129,171","6,472",6,120,Finished,"Dec  6, 1982 to Jun  11, 1990","['Action', 'Award Winning', 'Sci-Fi']",[],['Seinen'],Young Magazine (Weekly),"Otomo, Katsuhiro (Story & Art)"
Dorohedoro,8.68,54418,57,51,"169,360","13,010",23,190,Finished,"Nov  30, 2000 to Sep  12, 2018","['Action', 'Comedy', 'Fantasy', 'Horror']",[],['Seinen'],Gessan,"Hayashida, Q (Story & Art)"
"Sayonara Eri (Goodbye, Eri)",8.68,69161,58,123,"105,922","5,446",1,Unknown,Finished,"Apr  11, 2022",[],[],['Shounen'],Shounen Jump+,"Fujimoto, Tatsuki (Story & Art)"
Shinyaku Toaru Majutsu no Index (A Certain Magical Index NT),8.67,4805,59,1244,"14,953","1,203",23,178,Finished,"Mar  10, 2011 to Jul  10, 2019","['Action', 'Comedy', 'Fantasy', 'Sci-Fi', 'Supernatural']",[],[],None,"Kamachi, Kazuma (Story), Haimura, Kiyotaka (Art)"
Koten-bu Series,8.67,3254,60,997,"17,774",658,Unknown,Unknown,Publishing,"Oct  31, 2001 to ?","['Adventure', 'Mystery']",[],[],None,"Yonezawa, Honobu (Story)"
Solo Leveling,8.67,263651,61,7,"452,509","41,186",Unknown,201,Finished,"Mar  4, 2018 to May  31, 2023","['Action', 'Adventure', 'Fantasy']",[],[],KakaoPage,"Chugong (Story), Jang, Sung-rak (Art), Disciples (Art)"
The Horizon,8.67,38891,62,170,"83,990","4,369",3,21,Finished,"Mar  30, 2016 to Jul  21, 2016","['Adventure', 'Drama']",[],[],Comica,"Jeong, Ji-Hoon (Story & Art)"
Yagate Kimi ni Naru (Bloom into You),8.67,46197,63,128,"101,632","9,637",8,50,Finished,"Apr  27, 2015 to Sep  27, 2019","['Drama', 'Girls Love']",[],[],Dengeki Daioh,"Nakatani, Nio (Story & Art)"
Kimi no Suizou wo Tabetai (I Want to Eat Your Pancreas),8.66,2849,64,2880,"6,886",384,1,10,Finished,"Jun  17, 2015","['Drama', 'Romance']",[],[],None,"Sumino, Yoru (Story)"
Kozure Ookami (Lone Wolf & Cub),8.66,6916,65,355,"45,773","1,555",28,142,Finished,Sep  1970 to Apr  1976,[],"['Historical', 'Samurai']",['Seinen'],Manga Action,"Koike, Kazuo (Story), Kojima, Goseki (Art)"
Natsume Yuujinchou (Natsume's Book of Friends),8.66,10790,66,377,"43,290","2,168",Unknown,Unknown,Publishing,"Jun  10, 2003 to ?","['Drama', 'Supernatural']",[],['Shoujo'],LaLa,"Midorikawa, Yuki (Story & Art)"
 Series (Zaregoto),8.66,4067,67,747,"23,170","1,179",Unknown,Unknown,Publishing,"Feb  5, 2002 to ?","['Action', 'Drama', 'Mystery', 'Supernatural']",[],[],None,"NISIO, ISIN (Story), Take (Art)"
Bungou Stray Dogs: Beast (Bungo Stray Dogs: Beast),8.65,4668,68,1401,"13,580",708,4,22,Finished,"Dec  26, 2019 to Jan  26, 2022","['Action', 'Mystery', 'Supernatural']",[],['Shounen'],Shounen Ace,"Asagiri, Kafka (Story), Hoshikawa, Shiwasu (Art)"
Veil,8.65,1635,69,2598,"7,616",392,Unknown,Unknown,Publishing,"Nov  15, 2019 to ?","['Drama', 'Romance', 'Slice of Life']",[],[],None,"Fukuda, Ikumi (Story & Art)"
Overlord,8.65,21616,70,254,"61,632","3,990",Unknown,Unknown,Publishing,"Jul  30, 2012 to ?","['Action', 'Fantasy', 'Supernatural']","['Isekai', 'Video Game']",[],None,"Maruyama, Kugane (Story), so-bin (Art)"
Seishun Buta Yarou Series (Rascal Does Not Dream),8.64,5338,71,692,"25,135",999,Unknown,Unknown,Publishing,"Apr  10, 2014 to ?","['Drama', 'Romance', 'Supernatural']",[],[],None,"Kamoshida, Hajime (Story), Mizoguchi, Keiji (Art)"
ReLIFE,8.64,79179,72,61,"159,207","12,081",15,238,Finished,"Oct  12, 2013 to Mar  16, 2018","['Comedy', 'Drama', 'Romance', 'Slice of Life']",[],[],comico,"Yayoi, Sou (Story & Art)"
Golden Kamuy,8.64,24026,73,154,"89,406","5,181",31,314,Finished,"Aug  21, 2014 to Apr  28, 2022","['Action', 'Adventure', 'Award Winning']",[],['Seinen'],Young Jump,"Noda, Satoru (Story & Art)"
Tian Guan Cifu (Heaven Official's Blessing),8.64,3254,74,1876,"10,150",775,Unknown,Unknown,Publishing,"Oct  19, 2019 to ?","['Action', 'Adventure', 'Boys Love', 'Drama', 'Supernatural']",[],[],None,"Mo Xiang Tong Xiu (Story), STARember (Art)"
Omniscient Reader,8.64,2995,75,2947,"6,743",923,Unknown,Unknown,Publishing,"Jan  20, 2022 to ?","['Action', 'Adventure', 'Fantasy']",[],[],None,sing N song (Story)
Blue Period,8.64,35265,76,99,"119,615","8,255",Unknown,Unknown,Publishing,"Jun  24, 2017 to ?","['Award Winning', 'Drama']","['School', 'Visual Arts']",['Seinen'],Afternoon,"Yamaguchi, Tsubasa (Story & Art)"
Violet Evergarden,8.63,5786,77,647,"26,762",744,2,13,Finished,"Dec  25, 2015 to Dec  26, 2016","['Drama', 'Fantasy']",[],[],None,"Akatsuki, Kana (Story), Takase, Akiko (Art)"
Gintama,8.63,39174,78,144,"93,866","8,285",77,709,Finished,"Dec  8, 2003 to Jun  20, 2019","['Action', 'Comedy', 'Sci-Fi']","['Gag Humor', 'Historical', 'Parody', 'Samurai']",['Shounen'],Shounen Jump (Weekly),"Sorachi, Hideaki (Story & Art)"
Aria,8.63,9982,79,449,"37,250","2,553",12,67,Finished,"Feb  28, 2002 to Feb  29, 2008","['Adventure', 'Comedy', 'Drama', 'Sci-Fi', 'Slice of Life']",[],['Shounen'],Comic Blade,"Amano, Kozue (Story & Art)"
Pluto (Pluto: Urasawa x Tezuka),8.63,43449,80,103,"117,146","5,336",8,65,Finished,"Sep  9, 2003 to Apr  1, 2009","['Action', 'Award Winning', 'Mystery', 'Sci-Fi', 'Suspense']",[],['Seinen'],Big Comic Original,"Urasawa, Naoki (Story & Art), Tezuka, Osamu (Story)"
Kono Subarashii Sekai ni Shukufuku wo! (Konosuba: God's Blessing on This Wonderful World!),8.62,16684,81,303,"52,016","2,826",17,127,Finished,"Oct  1, 2013 to May  1, 2020","['Adventure', 'Comedy', 'Fantasy']","['Isekai', 'Parody', 'Reincarnation']",[],None,"Mishima, Kurone (Art), Akatsuki, Natsume (Story)"
"""Oshi no Ko"" ([Oshi No Ko])",8.62,64966,82,57,"163,484","12,878",Unknown,Unknown,Publishing,"Apr  23, 2020 to ?","['Drama', 'Supernatural']","['Reincarnation', 'Showbiz']",['Seinen'],Young Jump,"Akasaka, Aka (Story), Yokoyari, Mengo (Art)"
"Umarekawattemo Mata, Watashi to Kekkon shitekuremasu ka (Will you marry me again if you are reborn?)",8.61,9190,83,672,"25,722",853,4,26,Finished,"Oct  20, 2017 to Sep  20, 2019",[],[],[],Gene pixiv,"Morinaga, Miku (Story & Art)"
Banana Fish,8.61,14100,84,289,"54,795","2,314",19,110,Finished,"Apr  13, 1985 to Mar  12, 1994","['Action', 'Adventure', 'Drama']",[],['Shoujo'],Betsucomi,"Yoshida, Akimi (Story & Art)"
Hi no Tori (1967) (Phoenix),8.61,4013,85,815,"21,553",737,16,19,Finished,"Dec  20, 1966 to Feb  1988","['Drama', 'Fantasy', 'Romance', 'Sci-Fi', 'Supernatural']","['Historical', 'Psychological', 'Space']",['Shounen'],Manga Shounen,"Tezuka, Osamu (Story & Art)"
Suzumiya Haruhi Series,8.61,11708,86,446,"37,483","1,979",Unknown,Unknown,Publishing,"Jun  6, 2003 to ?","['Comedy', 'Drama', 'Sci-Fi', 'Supernatural']",[],[],The Sneaker,"Tanigawa, Nagaru (Story), Itou, Noizi (Art)"
Mob Psycho 100,8.61,45349,87,109,"113,777","5,614",16,109,Finished,"Apr  18, 2012 to Dec  22, 2017","['Action', 'Award Winning', 'Comedy', 'Supernatural']",[],[],MangaONE,ONE (Story & Art)
Monogatari Series: Monster Season,8.61,1104,88,2878,"6,887",91,6,Unknown,Finished,"Jul  20, 2017 to Aug  19, 2021","['Comedy', 'Mystery', 'Supernatural']",[],[],None,"NISIO, ISIN (Story), VOFAN (Art)"
Tongari Boushi no Atelier (Witch Hat Atelier),8.60,18422,89,192,"77,851","4,578",Unknown,Unknown,Publishing,"Jul  22, 2016 to ?",[],[],['Seinen'],Morning Two,"Shirahama, Kamome (Story & Art)"
Ao Ashi,8.60,11335,90,625,"27,710","1,550",Unknown,Unknown,Publishing,"Jan  5, 2015 to ?","['Award Winning', 'Sports']",[],['Seinen'],Big Comic Spirits,"Kobayashi, Yuugo (Story & Art), Ueno, Naohiko (Story)"
Fata Morgana no Yakata: Anata no Genten ni Itaru Monogatari (The House in Fata Morgana),8.60,740,91,6561,"2,854",366,5,21,Finished,"Aug  8, 2014 to Jan  14, 2016","['Drama', 'Horror', 'Mystery', 'Supernatural']",[],[],None,"Hanada, Keika (Story), Moyataro (Art)"
Kaoru Hana wa Rin to Saku (The Fragrant Flower Blooms with Dignity),8.60,13376,92,379,"43,111","1,944",Unknown,Unknown,Publishing,"Oct  21, 2021 to ?","['Drama', 'Romance']",[],[],Magazine pocket,"Mikami, Saka (Story & Art)"
Umineko no Naku Koro ni Chiru - Episode 7: Requiem of the Golden Witch (Umineko WHEN THEY CRY Episode 7: Requiem of the Golden Witch),8.59,5057,93,1553,"12,509",335,9,48,Finished,"Apr  13, 2011 to Mar  12, 2015","['Drama', 'Mystery', 'Supernatural', 'Suspense']",[],['Shounen'],Shounen Gangan,"Mizuno, Eita (Art), Ryukishi07 (Story)"
Shigatsu wa Kimi no Uso (Your Lie in April),8.59,33376,94,189,"78,710","2,656",11,44,Finished,"Apr  6, 2011 to Feb  6, 2015","['Award Winning', 'Drama', 'Romance']","['Music', 'School']",['Shounen'],Shounen Magazine (Monthly),"Arakawa, Naoshi (Story & Art)"
Mo Dao Zu Shi (Grandmaster of Demonic Cultivation: Mo Dao Zu Shi),8.59,2474,95,3753,"5,292",558,4,27,Finished,"Dec  8, 2016","['Action', 'Adventure', 'Boys Love', 'Mystery', 'Supernatural']",[],[],None,Mo Xiang Tong Xiu (Story)
Ginga Eiyuu Densetsu (Legend of the Galactic Heroes),8.59,2032,96,1965,"9,716",293,10,94,Finished,Nov  1982 to Nov  1987,"['Action', 'Adventure', 'Drama', 'Sci-Fi']","['Adult Cast', 'Military', 'Space']",[],None,"Tanaka, Yoshiki (Story), Katou, Naoyuki (Art), Kamoshita, Yukihisa (Art)"
Shinseiki Evangelion (Neon Genesis Evangelion),8.58,48496,97,111,"110,467","7,561",14,97,Finished,"Dec  26, 1994 to Jun  4, 2013","['Action', 'Drama', 'Mystery', 'Sci-Fi', 'Suspense']","['Mecha', 'Psychological']","['Seinen', 'Shounen']",Young Ace,"Sadamoto, Yoshiyuki (Story & Art)"
JoJo no Kimyou na Bouken Part 4: Diamond wa Kudakenai (JoJo's Bizarre Adventure Part 4: Diamond Is Unbreakable),8.57,60189,98,133,"100,814","6,461",18,174,Finished,"Apr  21, 1992 to Nov  21, 1995","['Action', 'Supernatural']",[],['Shounen'],Shounen Jump (Weekly),"Araki, Hirohiko (Story & Art)"
Pandora Hearts,8.57,60400,99,50,"171,781","16,512",24,107,Finished,"May  18, 2006 to Mar  18, 2015","['Adventure', 'Fantasy', 'Mystery', 'Supernatural']",[],['Shounen'],GFantasy,"Mochizuki, Jun (Story & Art)"
Chihayafuru,8.57,13563,100,364,"44,808","2,589",50,252,Finished,"Dec  28, 2007 to Aug  1, 2022","['Award Winning', 'Drama']","['Love Polygon', 'Strategy Game']",['Josei'],Be-Love,"Suetsugu, Yuki (Story & Art)"
Wind Breaker,8.57,17258,101,335,"47,203","2,923",Unknown,Unknown,Publishing,"Dec  15, 2013 to ?","['Action', 'Drama', 'Sports']",[],[],Naver Webtoon,"Jo, Yongseok (Story & Art)"
Jibaku Shounen Hanako-kun (Toilet-Bound Hanako-kun),8.57,38883,102,112,"110,210","10,933",Unknown,Unknown,Publishing,"Dec  18, 2014 to ?",[],[],['Shounen'],GFantasy,"Aida, Iro (Story & Art)"
Skip to Loafer (Skip and Loafer),8.57,7944,103,521,"32,607","1,593",Unknown,Unknown,Publishing,"Aug  25, 2018 to ?","['Award Winning', 'Drama']",[],['Seinen'],Afternoon,"Takamatsu, Misaki (Story & Art)"
